Case,Theta,Phi,timeErr,initX,initY,initZ,traceX,traceY,traceZ,noiseX,noiseY,noiseZ,13,14,15,16,17,18,19,20
Case1,1.1044661672776617,2.405281875404685,1.754874028791754,(-0.8747571302500426+0j),(0.34054774220735373+0j),(0.3447132117488154+1.9077527051391966e-17j),(-0.7604511509217885+0j),(0.4685762470590504+0j),(0.4496113296546066-1.2488600612229063e-17j),(-0.7608930397539316+8.97285788237357e-18j),(0.45602808578184517-5.3777272104035125e-18j),(0.46160607343509685+2.0103244495809845e-17j),(-0.8608322426362256+5.28677630773884e-18j),(0.3502600426213025+0j),(0.35479535693357134-4.933526447824083e-18j),0.03371933321252174,0.02498480304680617,1.2073159267701843,4.323780519796959,0.9898848139708102
Case1,1.2517283229146832,2.5034566458293663,1.8775924918226052,(-0.8747571302500426+0j),(0.34054774220735373+0j),(0.3447132117488154+1.9077527051391966e-17j),(-0.8978808055254333+2.7755575615628914e-17j),(0.3088912831552898+0j),(0.31368174039889146-2.2440234211865178e-17j),(-0.9051875353709692+4.5795595973216724e-18j),(0.29869680483023864-1.5111783644800601e-18j),(0.30235036727815734+1.5203369704373214e-17j),(-0.8625162682220987+6.30808536718839e-18j),(0.3483796444637565+0j),(0.35292655618199503-5.729285891644133e-18j),0.028286108717526348,0.02883259028247387,1.2093346720494798,4.326383638790369,0.9993750578347846
Case1,1.2517283229146832,2.5034566458293663,1.8775924843720246,(-0.8747571302500426+0j),(0.34054774220735373+0j),(0.3447132117488154+1.9077527051391966e-17j),(-0.897880803224014+0j),(0.3088912898450231+0j),(0.3136817403988915+2.090951651153293e-17j),(-0.889338011985184+5.20783202762595e-18j),(0.3213535177092794-1.881798730249853e-18j),(0.32528420972145705+1.6097447915692272e-17j),(-0.8640538567004427+6.033820786006285e-18j),(0.3466627594803333+0j),(0.35122025984359917-4.571077091505999e-18j),0.023325338917363325,0.032607488425651754,1.2111778742610104,4.328760399286501,0.9993750538660676
Case1,1.2517283229146832,2.5034566458293663,1.8775924843720246,(-0.8747571302500426+0j),(0.34054774220735373+0j),(0.3447132117488154+1.9077527051391966e-17j),(-0.897880803224014+0j),(0.3088912898450231+0j),(0.3136817403988915+2.090951651153293e-17j),(-0.8906079242331802+5.158885331799577e-18j),(0.3196116945916891-1.8513647119413786e-18j),(0.3235210811883737+1.603067704444924e-17j),(-0.8654633128055914+5.7824115865893565e-18j),(0.3450889482455287+0j),(0.34965615486673635-3.509385691379377e-18j),0.018777966600547147,0.027832624526981875,1.2128674762882468,4.330939096407954,0.9993750538660676
Case1,1.1290098598838318,2.454369260617026,1.7916895677010096,(-0.8747571302500426+0j),(0.34054774220735373+0j),(0.3447132117488154+1.9077527051391966e-17j),(-0.8074652076666581+2.7755575615628914e-17j),(0.40644382205867424+0j),(0.4275550934302822+7.666210108372156e-18j),(-0.8003960130761407+8.056087108896815e-18j),(0.4213059768553371-4.2404979455121124e-18j),(0.42645925493274134+1.9309247101556858e-17j),(-0.8631433886000341+6.661338147750939e-18j),(0.3475431431980546+0j),(0.3527721124092782-3.0623618593893154e-18j),0.026668043301172173,0.02302717884039429,1.2095131716320702,4.327543885684358,0.9960666929419719
Case1Fin,1.2026409377023426,2.5034566458293663,1.7916895677010096,(-0.8747571302500426+0j),(0.34054774220735373+0j),(0.3447132117488154+1.9077527051391966e-17j),(-0.8074652076666581+2.7755575615628914e-17j),(0.40644382205867424+0j),(0.4275550934302822+7.666210108372156e-18j),(-0.8631433886000341+6.661338147750939e-18j),(0.3475431431980546+0j),(0.3527721124092782-3.0623618593893154e-18j),(-0.8631433886000341+6.661338147750939e-18j),(0.3475431431980546+0j),(0.3527721124092782-3.0623618593893154e-18j),0.026668043301172173,0.04098110725280618,1.2095131716320702,4.327543885684358,0.999937592486183
Case2,1.2762720155208536,0.4908738521234052,0.88357294127271,(0.9424557602055281+1.3877787807814457e-17j),(-0.17700100271784724+0j),(0.28363318757207623+8.711688861277778e-18j),(0.9385529969012233-1.3877787807814457e-17j),(-0.18668979125545365+0j),(0.29028467725446244-1.043533756414845e-17j),(0.9439599200807828-7.589892883211436e-19j),(-0.17473996973892944+2.713568913617389e-18j),(0.2800100217076527+4.2520778739801104e-18j),(0.9385529969012233-1.3877787807814457e-17j),(-0.18668979125545365+0j),(0.29028467725446244-1.043533756414845e-17j),0.020243041524297456,0.02763140862660532,1.2762720155208536,1.3744467933961153,0.9999616844382601
Case2,1.3744467859455345,0.4908738521234052,0.9326603264850504,(0.9424557602055281+1.3877787807814457e-17j),(-0.17700100271784724+0j),(0.28363318757207623+8.711688861277778e-18j),(0.9701697617663178+1.3877787807814457e-17j),(-0.143911082304073+0j),(0.1950903220161282-1.0490522444868438e-17j),(0.9650686804546396-4.889303385436196e-19j),(-0.1387061101561519+2.1127384554884283e-18j),(0.22226798467365985+3.4413462231805216e-18j),(0.9543613793337705+0j),(-0.16530043677976333+0j),(0.24268749963529532-1.0462930004508444e-17j),0.06455187300310722,0.03748372227323765,1.325359400733194,1.3989904860022855,0.9975742885136464
Case2,1.1780972450961724,0.4908738521234052,0.8344855486097889,(0.9424557602055281+1.3877787807814457e-17j),(-0.17700100271784724+0j),(0.28363318757207623+8.711688861277778e-18j),(0.8961920207227128-2.7755575615628914e-17j),(-0.22448441501853575+0j),(0.3826834323650898-2.6599742251598973e-17j),(0.8894635328147784-1.3710973168296092e-18j),(-0.24194757697263153+3.935669881520093e-18j),(0.3877060662276591+5.6015807954442145e-18j),(0.9349715931300846-9.25185853854297e-18j),(-0.18502842952602078+0j),(0.28935281054522677-1.5841867420205288e-17j),0.0212312168567676,0.029214283724599416,1.2762720155208533,1.3744467909125884,0.9964485114613439
Case2,1.325359400733194,0.4908738521234052,0.9081166338788802,(0.9424557602055281+1.3877787807814457e-17j),(-0.17700100271784724+0j),(0.28363318757207623+8.711688861277778e-18j),(0.9557501074267026+0j),(-0.16583836808176794+0j),(0.24298017990326398-7.768012341666604e-18j),(0.95877410156038-5.714349722281575e-19j),(-0.15044455396022768+2.3049821225065144e-18j),(0.24107811671903043+3.711033882215486e-18j),(0.9401662217042391-6.938893903907228e-18j),(-0.18023091416495757+0j),(0.2777596528847361-1.3823403650570618e-17j),0.011392984635739456,0.020319879795936413,1.2885438618239387,1.3805827146850125,0.9995114989653945
