Case,Theta,Phi,timeErr,initX,initY,initZ,traceX,traceY,traceZ,noiseX,noiseY,noiseZ,13,14,15,16,17,18,19
Case2,0.3436116964863836,4.908738521234052,0.5252350232621597,(-0.6512331246365884+0j),(-0.3432282297737036+0j),(0.6768233149518974+1.0982702543900884e-18j),(-0.25292340896883386+1.3877787807814457e-17j),(-0.2225410580414668+0j),(0.9415440651830206-6.531545328920354e-18j),(2.7280079694249135+0j),(1.5159848734656673+0j),(1.4229025080432525+0j),(-0.30672598973675613-8.673617379884035e-18j),(-0.35925207281970406+0j),(0.7904608439444751-8.371576018102012e-18j),0.4741685069384105,0.576776776245001,5.484288113966331,0.9391767256570401
Case2,0.9081166264282996,4.466952054322987,0.5375068680751287,(-0.6512331246365884+0j),(-0.3432282297737036+0j),(0.6768233149518974+1.0982702543900884e-18j),(-0.7549598921955272-1.3877787807814457e-17j),(-0.2269926235095538+0j),(0.615231590580627+2.0874923359411018e-17j),(0.26219352394432915+0j),(1.6458727559384108+0j),(1.0958342312593485+0j),(-0.35652975667661957-9.25185853854297e-18j),(-0.34455657845190957+0j),(0.7709909269040475-5.1219649761561194e-18j),0.3901993285903249,0.6135923151542565,5.430973759347641,0.992984138107605
Case2,1.2026409377023426,4.368777283898306,0.5571418221600649,(-0.6512331246365884+0j),(-0.3432282297737036+0j),(0.6768233149518974+1.0982702543900884e-18j),(-0.9118035365040686+1.3877787807814457e-17j),(-0.19771159170911756+0j),(0.3598950365349883+2.686130495336753e-17j),(0.12986748185713154+0j),(1.8524806571798544+0j),(1.8018419262284238+0j),(-0.41205713465936444-6.938893903907228e-18j),(-0.32987207977763044+0j),(0.7298813378671416-1.9236379832037545e-18j),0.30559016288854135,0.6724971774090651,5.380468294018714,0.9526211107936288
Case2,1.1290098598838318,4.908738521234052,0.6037748396019045,(-0.6512331246365884+0j),(-0.3432282297737036+0j),(0.6768233149518974+1.0982702543900884e-18j),(-0.6297347423136836-5.551115123125783e-17j),(-0.6485605572380586+0j),(0.42755509343028214-7.464814724588213e-18j),(1.071708622597311+0j),(0.7919667875248432+0j),(1.5770343441152495+0j),(-0.43184600808248436-1.1354553660939102e-17j),(-0.35884375954676023+0j),(0.7023971338274271-2.4273813233296145e-18j),0.2605764652026904,0.7139983303613167,5.392472391002099,0.9610438493971498
Case2,0.5645049299419159,4.466952054322987,0.5031456999166064,(-0.6512331246365884+0j),(-0.3432282297737036+0j),(0.6768233149518974+1.0982702543900884e-18j),(-0.5173301102926393+1.3877787807814457e-17j),(-0.13635252205025217+0j),(0.8448535652497072-1.755324637879688e-17j),(1.255123759184164+0j),(0.1681679165990886+0j),(0.6046768082924561+0j),(-0.4389696832666639-9.25185853854297e-18j),(-0.34030282308871784+0j),(0.7142685031126171-3.687870077951886e-18j),0.25263403621563,0.7015405469930333,5.357274504605223,0.9777595715460654
Case2,0.5645049299419159,5.154175447295755,0.5718680392138832,(-0.6512331246365884+0j),(-0.3432282297737036+0j),(0.6768233149518974+1.0982702543900884e-18j),(-0.28288663858982305+0j),(-0.45408986224337766+0j),(0.844853565249707+3.911632148070697e-19j),(2.3377696021619325+0j),(0.852831269023215+0j),(1.0387650694227977+0j),(-0.4269632952145993-8.540177112501205e-18j),(-0.349055672254461+0j),(0.7243135078923933-3.374098286201198e-18j),0.2775874648432425,0.690999345681409,5.385641349367101,0.955949102323778
Case2,1.2517283229146832,5.056000676871073,0.6307729014686918,(-0.6512331246365884+0j),(-0.3432282297737036+0j),(0.6768233149518974+1.0982702543900884e-18j),(-0.5333284405961493+5.551115123125783e-17j),(-0.785598205313379+0j),(0.3136817403988913-1.3274405097021442e-17j),(1.2353059151944714+0j),(0.8607876837290219+0j),(2.130807266851069+0j),(-0.4345608055989956-3.96508223080413e-18j),(-0.38023728175866933+0j),(0.6949826673571432-4.0812630584026434e-18j),0.27184072342780435,0.7310514154837857,5.40715079429372,0.9146338719893858
Case2,1.0799224746714913,5.301437602932776,0.6381360092505428,(-0.6512331246365884+0j),(-0.3432282297737036+0j),(0.6768233149518974+1.0982702543900884e-18j),(-0.29711032421245476+0j),(-0.8303677328486285+0j),(0.47139673682599786+1.6591987488937457e-18j),(2.4212818315938125+0j),(0.7621577834652994+0j),(1.446177445357373+0j),(-0.4253974401732263-3.7007434154171884e-18j),(-0.410245978498+0j),(0.6800769386550668-3.698565604582884e-18j),0.29610705689082795,0.7543094860962994,5.442645648819694,0.8987730192089876
Case2,0.39269908169872414,4.71238898038469,0.5105088076984575,(-0.6512331246365884+0j),(-0.3432282297737036+0j),(0.6768233149518974+1.0982702543900884e-18j),(-0.333889766432821-1.3877787807814457e-17j),(-0.1869872543200805+0j),(0.9238795325112867-1.397366866319496e-18j),(1.9508588236313777+0j),(0.20892777574481428+0j),(0.6590338623132072+0j),(-0.419678210564451-4.336808689942018e-18j),(-0.39629230823688005+0j),(0.6953146007710805-3.5547406834414225e-18j),0.30311027835449705,0.731708835821451,5.4289114075236595,0.9534613074819929
Case2,0.5890486225480862,4.71238898038469,0.5301437602932776,(-0.6512331246365884+0j),(-0.3432282297737036+0j),(0.6768233149518974+1.0982702543900884e-18j),(-0.47930954385170516+0j),(-0.2809281847556869+0j),(0.8314696123025452-8.580241677968377e-19j),(1.4303694402974467+0j),(1.2233509808879557+0j),(0.8688168579942965+0j),(-0.4231859360519365-4.081702296416017e-18j),(-0.3895061833262216+0j),(0.7033237190964607-3.3961103001682113e-18j),0.3008255462817333,0.7233170585700766,5.417947956532736,0.9856613774180674
