Case,Theta,Phi,timeErr,initX,initY,initZ,traceX,traceY,traceZ,noiseX,noiseY,noiseZ,13,14,15,16,17
Case1,1.9389517158874505,1.030835089459151,0.3018874190558942,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.906676832972377+0j),(-0.22002882363149676+0j),(-0.3598950365349881-2.3594588632266742e-18j),(0.8900998859067768-1.734723475976807e-18j),(-0.24635735451327373+0j),(-0.3757127872114852-6.635758450812224e-19j),0.024286130028319197,0.07222056658306455,1.9563368314834877,1.3005894573102939,0.999830553856824
Case1,1.9144080232812801,0.9817477042468103,0.28961557424292517,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.8996490086594486+0j),(-0.2777352838575611+0j),(-0.33688985339221994+2.158514069473588e-17j),(0.8904818508168838-1.6653345369377347e-18j),(-0.24761247168704525+0j),(-0.37415986985871463+2.263728165114617e-19j),0.026712199644754298,0.159991543081921,1.9546596791553994,1.2994204101574716,0.9990001083211525
Case1,1.9634954084936207,1.0799224746714913,0.3043417883165112,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.9078532523287409+0j),(-0.17133552704970864+0j),(-0.3826834323650898+1.6004165275916443e-18j),(0.891149981644263-1.6012832085939759e-18j),(-0.2446787430471477+0j),(-0.3744876991858829+2.7922065155300715e-19j),0.0227825108503093,0.10735612967770089,1.9549995148991772,1.3026836352663382,0.9990448733269556
Case1,1.9389517158874505,1.1290098598838318,0.3067961575771283,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.9245050232004834+4.163336342344337e-17j),(-0.12556283189922585+0j),(-0.35989503653498817+5.7872576268238165e-18j),(0.8923853535537526+0j),(-0.24026704263426168+0j),(-0.3739472301988127+4.832220210074816e-19j),0.017675907515003864,0.17185435749153732,1.954405151972817,1.3076140938661391,0.9968623861940484
Case1,1.9880391010997909,1.030835089459151,0.29697868053466014,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.8873545643653937+0j),(-0.21995761983484827+0j),(-0.40524131400498964+1.0114934214660383e-17j),(0.8922056825113113+0j),(-0.23954170610571118+0j),(-0.37506487604903327+8.272117422093709e-19j),0.01601259617867412,0.07901956335141076,1.9556063644416375,1.3083355108706987,0.999791582089717
Case1,1.88986433067511,1.030835089459151,0.2945243112740431,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.9210720109641984-1.3877787807814457e-17j),(-0.23071652814371485+0j),(-0.31368174039889135-3.7046978520161574e-17j),(0.8932010731476178-4.785444071660157e-19j),(-0.23923738962426305+0j),(-0.3729482161990284-4.7879481856204095e-19j),0.016829548910924363,0.16464138703866635,1.953339397760033,1.3089225415556123,0.9987294617614149
Case1,2.0371264863121317,0.9326603190344698,0.28961557424292517,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.8395227849271089+0j),(-0.30504285901238226+0j),(-0.4496113296546068+1.6515490963718482e-17j),(0.8914117968736007-4.625929269271486e-19j),(-0.24143090527053368+0j),(-0.37550365331421437+8.768137418064314e-20j),0.018256903716026063,0.26214513285819036,1.9561323007117697,1.3060343199463385,0.996674122436978
Case1,1.88986433067511,1.030835089459151,0.3067961575771283,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.9238339026440215-1.3877787807814457e-17j),(-0.21939618516701448+0j),(-0.3136817403988913+2.523109990752762e-17j),(0.8924576712532917-8.953411488912552e-19j),(-0.24072010784783954+0j),(-0.37350939805888134+8.987593913853842e-19j),0.018494487168974005,0.16464138703866635,1.9539946242589743,1.3070535756589172,0.998653793561481
Case1,1.9389517158874505,1.1290098598838318,0.3018874190558942,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.9238775322840646-2.7755575615628914e-17j),(-0.13009945433470116+0j),(-0.3598950365349883-3.725129042228998e-17j),(0.8934395419105033-1.734723475976807e-18j),(-0.23726321242555395+0j),(-0.3730839492612597-2.934296652919708e-19j),0.014481169887098383,0.15565627351440686,1.953524533372364,1.3109236913864424,0.9971073131846501
Case1,1.9389517158874505,1.030835089459151,0.2969786820247763,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.905585850191176-2.7755575615628914e-17j),(-0.22447679303439055+0j),(-0.35989503653498817+2.134229134894771e-17j),(0.8938076118584025-2.523234146875356e-18j),(-0.23687574517127627+0j),(-0.3726842852392515+3.621982442304438e-19j),0.014125296706929719,0.12675596356075344,1.953082932842518,1.311435511995457,0.9998576961337438
Case1,1.9389517158874505,1.030835089459151,0.2969786820247763,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.905585850191176-2.7755575615628914e-17j),(-0.22447679303439055+0j),(-0.35989503653498817+2.134229134894771e-17j),(0.8941540306328959-3.2653618371328133e-18j),(-0.2365110701084267+0j),(-0.37230813086559666+9.792598061338928e-19j),0.013790357243241624,0.03782313768601003,1.9526673088144282,1.3119172255098237,0.9998576961337438
Case1,1.8407769454627694,1.030835089459151,0.29697868053466014,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.935464848930186+1.3877787807814457e-17j),(-0.23188320641253946+0j),(-0.26671275747489825-2.946142580484365e-17j),(0.8953343397271041-2.775557561562891e-18j),(-0.23637884543140136+0j),(-0.369291120197291+1.0952593153453439e-19j),0.015494834140313773,0.16044670205600858,1.9494704412900947,1.3123714124950805,0.9963800762116696
Case1,1.9880391010997909,0.9326603190344698,0.3043417883165112,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.863750904927703+2.7755575615628914e-17j),(-0.2995227064181998+0j),(-0.4052413140049896-2.0043984734326918e-17j),(0.8944570220937874-1.927470528863119e-18j),(-0.23813284156992354+0j),(-0.3702897366919493-4.502938091838392e-19j),0.01712753141749429,0.15352373219452406,1.9505417929514752,1.3102778206855221,0.9984468914702586
Case1,1.9880391010997909,1.030835089459151,0.3018874190558942,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.8884235837714644-1.3877787807814457e-17j),(-0.2155991957827706+0j),(-0.40524131400498986-1.81858708451056e-18j),(0.8942939561931842-2.250452076942885e-18j),(-0.23752382411621673+0j),(-0.3712343739166261-4.8727470851699395e-19j),0.015736942639713897,0.07901956335141076,1.9515552337122404,1.310884433870104,0.9997649872968803
Case1,1.9634954084936207,0.9817477042468103,0.2945243112740431,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.884097590017467+0j),(-0.2681880719170425+0j),(-0.3826834323650897+8.998106029641882e-18j),(0.8940256307675073-2.1912296538654404e-18j),(-0.23833077800571215+0j),(-0.3715356649284277-2.3765942593386557e-19j),0.016510930943084617,0.1912035434136896,1.951869448838066,1.3099735807556498,0.9996359791531144
Case1,1.9880391010997909,1.030835089459151,0.3018874190558942,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.8884235837714644-1.3877787807814457e-17j),(-0.2155991957827706+0j),(-0.40524131400498986-1.81858708451056e-18j),(0.8938819885368395-2.4908849911461846e-18j),(-0.23774791692307262+0j),(-0.37239991234064723-2.7819603256403726e-19j),0.015207464678893334,0.07901956335141075,1.9527968758191356,1.3105568865956345,0.9997649872968803
Case1,1.9144080232812801,0.9817477042468103,0.2896155727528091,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.8996490082455907+0j),(-0.27773528519814245+0j),(-0.33688985339222005+9.330255894890725e-18j),(0.8940261640295584-2.42861286636753e-18j),(-0.2387476011299494+0j),(-0.3715121608669366-3.798473437766819e-20j),0.016950724866761885,0.09345481429295593,1.9518371545056894,1.3095770463557341,0.9990001156022131
Case1,2.012582793705961,0.9817477042468103,0.29943304979527713,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.8663415132320184+2.7755575615628914e-17j),(-0.25816472364108756+0j),(-0.427555093430282+2.01483118334052e-17j),(0.8933509286442525-1.692413147294446e-18j),(-0.23922118948387958+0j),(-0.3728790616611645+4.543639623975237e-19j),0.016732647811770057,0.10276918509121374,1.9533187554617935,1.3088844538602795,0.9990543831870702
Case1,1.9634954084936207,1.0799224746714913,0.3043417883165112,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.9078532523287409+0j),(-0.17133552704970864+0j),(-0.3826834323650898+1.6004165275916443e-18j),(0.8936962220653116-1.6521175961683876e-18j),(-0.23760486418782784+0j),(-0.373112499058877+4.816509282354789e-19j),0.014537591696946683,0.07545970901081459,1.953561056724456,1.3106792112204633,0.9990448733269556
