Case,Theta,Phi,X,Y,Z,err,temTh,temPh,cost,fev
Case14,2.012582793705961,0.9817477042468103,(0.7516396270790012+0j),(-0.5022295422278169+0j),(-0.4275550934302818-2.7012247645494476e-18j),0.281554114938415,2.012582793705961,0.9817477042468103,0.9892359765910701,8345
Case14,1.5953400194010667,1.521708941582556,(0.8750671323832242-5.204170427930421e-18j),(-0.2756412191445535+0j),(-0.22604816097659697+8.506340818115192e-18j),0.26996864590275627,1.803961406553514,1.2517283229146832,0.9324010205829764,8537
Case14,1.8162332528565992,0.39269908169872414,(0.7071163847467818-3.469446951953614e-18j),(-0.48249148633727323+0j),(-0.23169216728548594+4.177011955720312e-18j),0.1472175093534969,1.8080520219878757,0.9653852425093635,0.9056436048634321,8465
Case14,1.718058482431918,0.4908738521234052,(0.6469109332956682-2.6020852139652106e-18j),(-0.5799625643359132+0j),(-0.21045174407795492+2.307417788599511e-18j),0.3022529616808538,1.7855536370988863,0.8467573949128739,0.9280378183077338,8384
Case14,1.8162332528565992,1.2762720155208536,(0.703181153257079-2.081668171172169e-18j),(-0.5202870933207946+0j),(-0.2169574312430167+3.2982374960461726e-18j),0.17980158353926262,1.791689560250429,0.9326603190344699,0.9865383758648036,8456
Case14Fin,1.7916895602504288,1.030835089459151,(0.703181153257079-2.081668171172169e-18j),(-0.5202870933207946+0j),(-0.2169574312430167+3.2982374960461726e-18j),0.17980158353926262,1.791689560250429,0.9326603190344699,0.9973432318412387,8399
Case15,0.09817477042468103,2.454369260617026,(0.06218141555799886+0j),(0.07576827408347266+0j),(0.995184726672197-2.4136385747438913e-17j),0.06167823149973076,0.09817477042468103,2.454369260617026,0.9994474119382476,8579
Case15,0.9081166264282996,1.718058482431918,(0.4209975917404441+1.0408340855860843e-17j),(0.09572135972215698+0j),(0.8052081586264119-2.0140706960178743e-17j),0.507067598367184,0.5031456984264904,2.086213871524472,0.8516171967364203,8519
Case15,0.1227184630308513,2.5034566458293663,(0.3049717125198368+6.938893903907228e-18j),(0.09658796523265178+0j),(0.8676319506171779-4.831389006868083e-18j),0.3294845326663054,0.3763366199612774,2.2252947962927703,0.9996695456614397,8453
Case15,0.09817477042468103,2.061670178918302,(0.25033963447169166+6.071532165918825e-18j),(0.08399221395058153+0j),(0.8995201446309327-2.3501448777141963e-18j),0.2369929635033075,0.3067961575771283,2.184388641949153,0.9994610235787996,8552
Case15,1.030835089459151,1.7671458676442586,(0.36852122663115133+7.632783294297952e-18j),(0.10066068130594504+0j),(0.8224366645433906+7.434209461035076e-19j),0.44230204892470054,0.4516039439535328,2.100940087088174,0.807097241476159,8402
Case15Fin,0.14726215563702155,2.2580197197676637,(0.36852122663115133+7.632783294297952e-18j),(0.10066068130594504+0j),(0.8224366645433906+7.434209461035076e-19j),0.44230204892470054,0.4516039439535328,2.100940087088174,0.9754097919120605,8453
Case16,0.39269908169872414,2.061670178918302,(0.3374966565165881+1.3877787807814457e-17j),(0.18039572125427572+0j),(0.9238795325112866-1.617119013014021e-17j),1.292278049990838,0.39269908169872414,2.061670178918302,0.8545895414468283,8453
Case16,1.1290098598838318,2.356194490192345,(0.4883568079021043+6.938893903907228e-18j),(0.409806340270948+0j),(0.6757173129707844+1.1707310710785444e-18j),0.6638450600481474,0.760854470791278,2.2089323345553233,0.9895290674526744,8381
Case16,1.030835089459151,2.2580197197676637,(0.5465822658275697+2.3129646346357426e-17j),(0.45458331678702907+0j),(0.6218457900449302-4.354649459767289e-18j),0.5069711026807466,0.8508480103472357,2.2252947962927703,0.9920119635262898,8387
Case16,1.1535535524900022,2.012582793705961,(0.616545657076925+1.734723475976807e-17j),(0.4386562469689464+0j),(0.5676946710349452-1.0415374349703341e-17j),0.398783662239489,0.9265243958829273,2.172116795646068,0.9966380837979987,8420
Case16,1.030835089459151,2.061670178918302,(0.6445263457013795+1.3877787807814457e-17j),(0.4317910911424425+0j),(0.5569762856666006-1.1219338463444989e-17j),0.36694974407319386,0.9473865345981721,2.150027472300515,0.9937807002756649,8444
Case16Fin,1.1780972450961724,2.1598449493429825,(0.6445263457013795+1.3877787807814457e-17j),(0.4317910911424425+0j),(0.5569762856666006-1.1219338463444989e-17j),0.36694974407319386,0.9473865345981721,2.150027472300515,0.9872139502051192,8357
Case17,1.0062913968529805,3.2888548092268146,(-0.12396576447439327+0j),(0.8357093011050075+0j),(0.5349976198870972-3.2966279372225975e-18j),0.3850722135157113,1.0062913968529805,3.2888548092268146,0.9873159679128212,8564
