Case,Theta,Phi,timeErr,initX,initY,initZ,traceX,traceY,traceZ,noiseX,noiseY,noiseZ,13,14,15,16
Case1,0.5645049299419159,3.3870295796514958,1.9757672547967058,(-0.4330093376304729+0j),(-0.3144252728556005+0j),(0.8447719581724408-1.5483982348611832e-18j),(-0.4257708497840675+0j),(-0.3239469659666716+0j),(0.844853565249707-1.939331475178277e-17j),(-0.41197643942606377-5.506704691173407e-19j),(-0.3178455033575524-4.2484985958075027e-19j),(0.8539611521335189-4.2378962524197766e-19j),(-0.4388942008899381+0j),(-0.31807492940624865+0j),(0.8399404088874121+8.618742596057887e-18j),0.029003459850934776
Case1,0.5645049299419159,3.3870295796514958,1.9757672547967058,(-0.4330093376304729+0j),(-0.3144252728556005+0j),(0.8447719581724408-1.5483982348611832e-18j),(-0.4257708497840675+0j),(-0.3239469659666716+0j),(0.844853565249707-1.939331475178277e-17j),(-0.4116598941954869-5.504201426806378e-19j),(-0.31789540341894773-4.250499885332148e-19j),(0.854095219513647-4.234976698299882e-19j),(-0.4378005882977821+0j),(-0.31856426578628383+0j),(0.8403498385842699+6.284404483737832e-18j),0.029404172400244455
Case1,0.5399612373357456,3.436116964863836,1.9880391010997909,(-0.4330093376304729+0j),(-0.3144252728556005+0j),(0.8447719581724408-1.5483982348611832e-18j),(-0.38928314591636765+0j),(-0.33579795099502485+0j),(0.8577286100002719+6.883786561505597e-18j),(-0.39863440531137934-5.397775202363766e-19j),(-0.3199089390093021-4.331779984344519e-19j),(0.8595050213023689-4.1157572776619106e-19j),(-0.4340684773453657+0j),(-0.319889933879264+0j),(0.8416866671547317+6.330510797412277e-18j),0.027016682682831472
Case1,0.5890486225480862,3.3379421944391554,1.9634954159442013,(-0.4330093376304729+0j),(-0.3144252728556005+0j),(0.8447719581724408-1.5483982348611832e-18j),(-0.46193976395596+0j),(-0.30865828725917444+0j),(0.8314696123025451+2.6265590886000644e-17j),(-0.4622569611148712-5.851661348116875e-19j),(-0.30931731402342105-3.9156147403573475e-19j),(0.83104831456792-4.712287550366785e-19j),(-0.43605928353183665+0j),(-0.3190876734064004+0j),(0.8409568775224325+7.754445089454302e-18j),0.0013975227998189732
Case1,0.5645049299419159,3.3870295796514958,1.9757672547967058,(-0.4330093376304729+0j),(-0.3144252728556005+0j),(0.8447719581724408-1.5483982348611832e-18j),(-0.4257708497840675+0j),(-0.3239469659666716+0j),(0.844853565249707-1.939331475178277e-17j),(-0.4278512919083504-5.62706559737236e-19j),(-0.3152832750748042-4.1465801416356353e-19j),(0.8470771679548804-4.385544544746485e-19j),(-0.43537338794865205+0j),(-0.3194116262437518+0j),(0.8412166567042509+5.944594433371831e-18j),0.012967735721323759
Case1,0.5399612373357456,3.436116964863836,1.9880391085503715,(-0.4330093376304729+0j),(-0.3144252728556005+0j),(0.8447719581724408-1.5483982348611832e-18j),(-0.38928314341447795+0j),(-0.33579795389541023+0j),(0.857728610000272+4.893194501108393e-19j),(-0.40474221956432876-5.448506267167568e-19j),(-0.3189744086600173-4.2939282848251265e-19j),(0.8569942020353074-4.1714328368547047e-19j),(-0.4324927476652662+0j),(-0.32043577172198046+0j),(0.8422486537852523+5.603639746918019e-18j),0.033017023947933155
Case1,0.5645049299419159,3.3870295796514958,1.9757672547967058,(-0.4330093376304729+0j),(-0.3144252728556005+0j),(0.8447719581724408-1.5483982348611832e-18j),(-0.4257708497840675+0j),(-0.3239469659666716+0j),(0.844853565249707-1.939331475178277e-17j),(-0.415292566071685-5.532688608528499e-19j),(-0.3173199692036299-4.227459680962581e-19j),(0.8525491901997226-4.268541765234087e-19j),(-0.43209734190754856+0j),(-0.32064231255990344+0j),(0.8424018838713967+4.1332306587591495e-18j),0.02480090542543978
Case1,0.5890486225480862,3.3379421944391554,1.9634954159442013,(-0.4330093376304729+0j),(-0.3144252728556005+0j),(0.8447719581724408-1.5483982348611832e-18j),(-0.46193976395596+0j),(-0.30865828725917444+0j),(0.8314696123025451+2.6265590886000644e-17j),(-0.4663713396910966-5.875058478677211e-19j),(-0.30856491117845813-3.8871104275876436e-19j),(0.8290268204974807-4.75181825230905e-19j),(-0.4337552542435714+0j),(-0.3199765333765296+0j),(0.8417945354509049+5.362806226939232e-18j),0.006967737879514435
Case1,0.5645049299419159,3.3870295796514958,1.9757672547967058,(-0.4330093376304729+0j),(-0.3144252728556005+0j),(0.8447719581724408-1.5483982348611832e-18j),(-0.4257708497840675+0j),(-0.3239469659666716+0j),(0.844853565249707-1.939331475178277e-17j),(-0.41352619960029074-5.518902709017253e-19j),(-0.31760053259543364-4.2386829212284544e-19j),(0.853302984841397-4.252204528715428e-19j),(-0.4333350224299133+0j),(-0.32018550351285285+0j),(0.8419555370192628+4.059852491217021e-18j),0.027040503146704697
Case1,0.5645049299419159,3.3870295796514958,1.9757672622472864,(-0.4330093376304729+0j),(-0.3144252728556005+0j),(0.8447719581724408-1.5483982348611832e-18j),(-0.4257708473704745+0j),(-0.3239469691389116+0j),(0.844853565249707+7.387185910238122e-18j),(-0.4394676078443691-5.708561848883236e-19j),(-0.31333310945881004-4.0701098390895566e-19j),(0.8418376234003925-4.494962076411526e-19j),(-0.4329568136769414+0j),(-0.3203735767941558+0j),(0.8421004384307852+4.226219162168077e-18j),0.02732655641747772
