Case,Theta,Phi,timeErr,initX,initY,initZ,traceX,traceY,traceZ,noiseX,noiseY,noiseZ,13
Case3,1.5462526341887264,3.9760782021995817,2.7611654256447347,(0.4404883010879235+0j),(-0.8963960450246311+0j),(0.04943872034017932-7.889022939944509e-18j),(0.4384841422215681+0j),(-0.8984037984797271+0j),(0.024541228522912406+1.2799804005888896e-17j),(0.4481059256711526+1.7330387821565578e-19j),(-0.8926238961225326-3.452201234659153e-19j),(0.04923067589856508-7.836785080773578e-18j),0.04009114314302289
Case3,1.521708941582556,4.025165587411922,2.7734372719478197,(0.4404883010879235+0j),(-0.8963960450246311+0j),(0.04943872034017932-7.889022939944509e-18j),(0.49230448124569554+5.551115123125783e-17j),(-0.8690389295546574+0j),(0.04906767432741832+2.7380372136077105e-18j),(0.4720152161484934+1.7752570162111287e-19j),(-0.8802526295614177-3.3106446639965805e-19j),(0.04854836634224395-7.72868847697474e-18j),0.03202226294633771
Case3,1.4971652489763858,3.9760782021995817,2.7366217330385645,(0.4404883010879235+0j),(-0.8963960450246311+0j),(0.04943872034017932-7.889022939944509e-18j),(0.41530123291975357+0j),(-0.9067045499597555+0j),(0.07356456359966751-8.032203774709665e-18j),(0.41884756197074763+1.6712958199097095e-19j),(-0.9066786291012311-3.6178513148995825e-19j),(0.050005833282454115-7.959564692191421e-18j),0.027130990076442374
Case3,1.4971652489763858,3.9760782021995817,2.7366217330385645,(0.4404883010879235+0j),(-0.8963960450246311+0j),(0.04943872034017932-7.889022939944509e-18j),(0.41530123291975357+0j),(-0.9067045499597555+0j),(0.07356456359966751-8.032203774709665e-18j),(0.40678860879161216+1.6427771021489828e-19j),(-0.9121360922952169-3.683574844726898e-19j),(0.05030682746701332-8.007232376411281e-18j),0.03720189274654633
Case3,1.5462526341887264,3.9760782021995817,2.7611654256447347,(0.4404883010879235+0j),(-0.8963960450246311+0j),(0.04943872034017932-7.889022939944509e-18j),(0.4384841422215681+0j),(-0.8984037984797271+0j),(0.024541228522912406+1.2799804005888896e-17j),(0.4408030160919624+1.7186423902724954e-19j),(-0.8962417949664764-3.4943480070062596e-19j),(0.049430213022984094-7.868393117067805e-18j),0.029369871844307872
Case3,1.4971652489763858,3.9760782021995817,2.7366217330385645,(0.4404883010879235+0j),(-0.8963960450246311+0j),(0.04943872034017932-7.889022939944509e-18j),(0.41530123291975357+0j),(-0.9067045499597555+0j),(0.07356456359966751-8.032203774709665e-18j),(0.4049305657955791+1.638228954480088e-19j),(-0.912959958703239-3.6935651812059884e-19j),(0.05035226597733467-8.014427979384997e-18j),0.03983836364028014
Case3,1.4971652489763858,3.9760782021995817,2.7366217330385645,(0.4404883010879235+0j),(-0.8963960450246311+0j),(0.04943872034017932-7.889022939944509e-18j),(0.41530123291975357+0j),(-0.9067045499597555+0j),(0.07356456359966751-8.032203774709665e-18j),(0.4245412807793907+1.6841496221896726e-19j),(-0.9040346675698036-3.5862935190635105e-19j),(0.0498600114936723-7.936469704675155e-18j),0.035614492205294786
Case3,1.4971652489763858,3.9760782021995817,2.7366217330385645,(0.4404883010879235+0j),(-0.8963960450246311+0j),(0.04943872034017932-7.889022939944509e-18j),(0.41530123291975357+0j),(-0.9067045499597555+0j),(0.07356456359966751-8.032203774709665e-18j),(0.40853855419882734+1.6470233636316916e-19j),(-0.9113560224711303-3.6741322114384408e-19j),(0.05026380445938976-8.000419198686733e-18j),0.0347149005228682
Case3,1.5462526341887264,3.9760782021995817,2.761165418194154,(0.4404883010879235+0j),(-0.8963960450246311+0j),(0.04943872034017932-7.889022939944509e-18j),(0.4384841355279382+5.551115123125783e-17j),(-0.8984038017466884+0j),(0.02454122852291246+9.608736615948553e-19j),(0.43534379798399975+1.7074340355877934e-19j),(-0.8988981735580025-3.5255109712555175e-19j),(0.04957671964696245-7.891599562537685e-18j),0.028670200479302493
Case3,1.521708941582556,4.025165587411922,2.7734372719478197,(0.4404883010879235+0j),(-0.8963960450246311+0j),(0.04943872034017932-7.889022939944509e-18j),(0.49230448124569554+5.551115123125783e-17j),(-0.8690389295546574+0j),(0.04906767432741832+2.7380372136077105e-18j),(0.46496578794778015+1.763605998805195e-19j),(-0.8839852042173182-3.3529383223949964e-19j),(0.04875422815476102-7.761304944676445e-18j),0.04259840399043438
Case3,1.4971652489763858,3.9760782021995817,2.7366217330385645,(0.4404883010879235+0j),(-0.8963960450246311+0j),(0.04943872034017932-7.889022939944509e-18j),(0.41530123291975357+0j),(-0.9067045499597555+0j),(0.07356456359966751-8.032203774709665e-18j),(0.40998676367639036+1.6505099964992278e-19j),(-0.9107074164664832-3.6662932268475967e-19j),(0.0502280320448943-7.994754166203447e-18j),0.03265385745515352
Case3,1.5462526341887264,3.9760782021995817,2.761165418194154,(0.4404883010879235+0j),(-0.8963960450246311+0j),(0.04943872034017932-7.889022939944509e-18j),(0.4384841355279382+5.551115123125783e-17j),(-0.8984038017466884+0j),(0.02454122852291246+9.608736615948553e-19j),(0.4353451217415192+1.7074367992559112e-19j),(-0.8988975343943428-3.525503450792271e-19j),(0.04957668439531938-7.891593978848874e-18j),0.028668202306480324
Case3,1.4971652489763858,3.9760782021995817,2.7366217330385645,(0.4404883010879235+0j),(-0.8963960450246311+0j),(0.04943872034017932-7.889022939944509e-18j),(0.41530123291975357+0j),(-0.9067045499597555+0j),(0.07356456359966751-8.032203774709665e-18j),(0.41024999686071656+1.651141064009111e-19j),(-0.91058922662893-3.6648659988699044e-19j),(0.05022151354856862-7.993721869918368e-18j),0.03227895292959982
Case3,1.5462526341887264,3.9760782021995817,2.761165418194154,(0.4404883010879235+0j),(-0.8963960450246311+0j),(0.04943872034017932-7.889022939944509e-18j),(0.4384841355279382+5.551115123125783e-17j),(-0.8984038017466884+0j),(0.02454122852291246+9.608736615948553e-19j),(0.42773009155532776+1.6911742624101163e-19j),(-0.9025348690405649-3.5684740718123e-19j),(0.04977729345797235-7.92336852244581e-18j),0.04012117620154678
Case3,1.5462526341887264,3.9760782021995817,2.761165418194154,(0.4404883010879235+0j),(-0.8963960450246311+0j),(0.04943872034017932-7.889022939944509e-18j),(0.4384841355279382+5.551115123125783e-17j),(-0.8984038017466884+0j),(0.02454122852291246+9.608736615948553e-19j),(0.43528649901693905+1.7073143887283782e-19j),(-0.8989258375180575-3.525836478412264e-19j),(0.04957824539084792-7.89184123289194e-18j),0.02875668915030371
