Al,Ap,tau,N,x,z,6
0.4155832367959404,0.7904479842630251,2.68,9.0,2.667514078235257,1.6645605128317416,0.060526358614897226
1.8026516946108189,0.7569155496300465,0.435,15.0,0.424163776366809,0.29671304440363677,0.032566726002588454
4.842141644415212,1.1543105892394874,3.97,9.0,3.9665103363041014,1.6916214029994052,0.07259865863807793
2.619728953196171,1.370637875633836,1.94,9.0,1.928994306255215,0.4806690032358817,0.05653001116064362
3.4440228730244677,1.0232339698480932,1.7650000000000001,9.0,1.7618763183855672,0.4279368239658163,0.03747217979776034
3.486830356169426,0.7021949326658592,1.76,13.0,1.7584873186433136,1.079435993427382,0.025163230529965566
2.894000390766954,0.7849551760270752,4.1450000000000005,13.0,4.14181203876297,0.9863896324762708,0.029616035641488382
0.5967757498198502,1.6927127837838971,3.585,9.0,3.575802483690641,0.8536704129335008,0.023822644571166847
3.8322023381549744,0.712827889643068,1.695,13.0,1.6937741410239668,1.0381382504251202,0.030548652735097683
1.8811411759651684,0.6613756010641537,3.005,13.0,3.005092125713651,2.404,0.08190243240513596
2.012980603501848,1.5705495636610258,2.095,9.0,2.0837165978434475,0.5105130012760614,0.08842956379903734
2.870857459370585,1.8636400905776436,4.88,9.0,4.871293957588405,2.0840732224712193,0.0864809713336298
4.7545292106174575,1.2523500360895783,4.0,9.0,3.99794714035163,0.9535348122736199,0.022071808597415452
1.1410002471634297,1.5993553113002783,3.31,9.0,3.2995759507303264,2.0457037796087607,0.05269085919737173
1.5047191937432052,1.0504205455015496,4.965,13.0,4.951833650716202,2.058436662690436,0.033948078675576254
2.6275628128862047,0.9638237315913292,2.725,9.0,2.7208170957025875,1.1612514513545347,0.08966690785382796
0.8795527066199221,0.919121137769275,1.485,13.0,1.4720623706452747,0.09121619384806677,0.03152310437623899
3.14548777007909,1.7119475418474959,2.5500000000000003,9.0,2.5520675989135277,1.56239951743789,0.09931492911255745
4.597956952147042,1.0375349968537073,4.065,13.0,4.061245184799976,1.735402748950491,0.033967501524259223
3.88117885149009,0.6728287835448415,1.685,13.0,1.685991166318656,1.031639913917776,0.055767609085584716
4.0711285875527805,0.8970955874165384,2.975,13.0,2.978366129023959,2.3760102815419484,0.02829929830695719
4.535244031576618,1.3883013297603493,2.83,13.0,2.8211702463841037,0.15213980395049237,0.02065846549222503
2.3778210064416836,0.6826142921250716,2.815,13.0,2.8149894437499996,1.7241921516296455,0.06013691789814796
4.694113650716886,1.134327335158391,2.79,13.0,2.796212510149882,2.2242983274067814,0.01608470136075806
1.0702542163377224,0.5542657816759755,0.485,13.0,0.48603685015690423,0.024250000000001208,0.09145372455065148
4.2905332610906415,1.4792902940954922,1.61,9.0,1.600290177510137,0.3974904511866769,0.01056696936462643
4.6463280408623815,1.4851131258463506,4.04,9.0,4.03215187576686,1.7289553108180136,0.044976053263344924
1.1154674397599793,0.6056905257239911,0.48,15.0,0.4690251083830811,0.3276657062263642,0.02765344712794728
4.060902390085804,1.4944781339838955,0.33,9.0,0.32884762828362096,0.139467117410213,0.052919825733538366
2.6652814705646932,0.7399517713959844,2.715,13.0,2.7195223515318605,1.6565470174745307,0.03982047057472077
2.775522071330643,1.3691037458216597,4.955,9.0,4.964583036168953,3.959057292942101,0.05606531745452264
4.407729303500309,1.3752747503694347,4.14,9.0,4.132897843839108,1.7692678559905182,0.03258453673085991
4.759976072753115,1.4385607301384953,3.995,9.0,3.987870475801715,0.2078403211368486,0.020166480969053883
2.0835984029564436,0.9812941037235965,2.92,9.0,2.913021672184307,1.249222457763364,0.07227527466354433
0.714466731862905,0.8240212192184149,1.53,9.0,1.5428808379989967,1.2135319160168971,0.03513527848758431
1.0690419004623948,1.450355186390979,1.435,5.0,1.4147795280576787,0.09611266537832666,0.07400453671721557
2.3387064535158393,1.6211115403291803,4.415,13.0,4.403243713276242,1.8303823003632784,0.07934302289874627
