Case,Theta,Phi,X,Y,Z,err,temTh,temPh,cost,fev
Case1Fin,0.5890486225480862,2.945243112740431,(0.10335026042126501+2.2204460492503132e-17j),(0.5124930898200185+0j),(0.8299304600875861+1.9433739243065436e-18j),0.04205684948701756,0.564504929941916,2.9157906816130263,0.9996294993340116,8402
Case2,2.380738182798515,2.8961557275280905,(0.16754468561080726+0j),(0.6688758787397457+0j),(-0.7242470829514669+4.137815111051352e-18j),0.07796913493708532,2.380738182798515,2.8961557275280905,0.999135559276084,8411
Case2,2.2089323345553233,2.84706834231575,(0.20035176232750984+2.7755575615628914e-17j),(0.7187487817887365+0j),(-0.6599731937219502+6.033213774315031e-18j),0.15930885049889018,2.294835258676919,2.8716120349219203,0.9920849332045332,8411
Case2,2.380738182798515,2.6016314162540475,(0.25173273697894494+1.850371707708594e-17j),(0.6763120721845426+0j),(-0.6813978234651223+2.5395471909398644e-18j),0.10176483398492589,2.323469566717451,2.781618495365963,0.9948329147939069,8354
Case2,2.356194490192345,2.84706834231575,(0.2401151186745034+1.3877787807814457e-17j),(0.676398804285201+0j),(-0.6878250628954786+2.261384036917043e-18j),0.08380670835078655,2.3316507975861747,2.7979809571034098,0.9996329808168029,8438
Case2,2.2580197197676637,2.650718801466388,(0.26497101598911865+1.1102230246251566e-17j),(0.6774659147049928+0j),(-0.677138707149112+2.2964701005561115e-19j),0.12041607183156025,2.316924582022472,2.7685285259760053,0.9925752577354283,8342
Case2Fin,2.380738182798515,2.7979809571034093,(0.26497101598911865+1.1102230246251566e-17j),(0.6774659147049928+0j),(-0.677138707149112+2.2964701005561115e-19j),0.12041607183156025,2.316924582022472,2.7685285259760053,0.9986139868208227,8414
Case3,2.356194490192345,2.2580197197676637,(0.546600933500879-2.7755575615628914e-17j),(0.44858379317131825+0j),(-0.7071067811865475+4.9873639103376835e-18j),0.7977853471164562,2.356194490192345,2.2580197197676637,0.9359416277904589,8408
Case3,1.8653206380689396,2.061670178918302,(0.6952734821478841-1.3877787807814457e-17j),(0.44984117238632815+0j),(-0.49869572922050476-4.169240567619443e-18j),0.4419591257184183,2.110757564130642,2.1598449493429825,0.9968430539953413,8417
Case3,1.7916895602504288,2.012582793705961,(0.7575237477094452-1.850371707708594e-17j),(0.4389495867138016+0j),(-0.40549756619929306-1.393506357951648e-17j),0.2756191114631189,2.004401562837238,2.110757564130642,0.9956415822186865,8411
Case3,2.012582793705961,2.061670178918302,(0.7674546558692846-1.3877787807814457e-17j),(0.4357465907613591+0j),(-0.4110119480070403-9.234074028550772e-18j),0.2679995891585842,2.0064468705544187,2.098485717827557,0.9949358070691086,8396
Case3,1.9389517158874505,2.012582793705961,(0.7826468248370034-1.1102230246251566e-17j),(0.4283784372642007+0j),(-0.40078856571262983-8.784814988650777e-18j),0.23521588439929658,1.992947839621025,2.081305133003238,0.9990388548850185,8423
Case3Fin,1.9144080232812801,1.9634954084936207,(0.7826468248370034-1.1102230246251566e-17j),(0.4283784372642007+0j),(-0.40078856571262983-8.784814988650777e-18j),0.23521588439929658,1.992947839621025,2.081305133003238,0.99481895348011,8381
Case4,0.7117670855789375,0.3436116964863836,(0.2200473033024774-5.551115123125783e-17j),(-0.6149910138218497+0j),(0.7572088465064846-9.278699725720685e-18j),0.3443505437585195,0.7117670855789375,0.3436116964863836,0.9889393927919194,8456
Case4,1.3008157081270237,0.3436116964863836,(0.2723668404056169-2.7755575615628914e-17j),(-0.7612143243684933+0j),(0.5119608019906915-8.419372091971744e-18j),0.11515652826276829,1.0062913968529807,0.3436116964863836,0.9645391658791991,8396
Case4,1.030835089459151,0.7853981633974483,(0.3837464657867125-3.700743415417188e-17j),(-0.7096447884286301+0j),(0.5126747827248682-1.5130982605384003e-17j),0.23131186017991667,1.0144726277217042,0.4908738521234051,0.9664944258751546,8399
Case4,0.7363107781851077,0.6872233929727672,(0.39431797205876074-2.7755575615628914e-17j),(-0.6620141143579975+0j),(0.569743868382391-1.7111262437286387e-17j),0.23244495486507472,0.9449321653375551,0.5399612373357456,0.9771293543847998,8432
Case4,1.0799224746714913,0.2945243112740431,(0.3666560235640505-2.2204460492503132e-17j),(-0.6984004976453758+0j),(0.5500744420711124-1.448813465751586e-17j),0.18806604939426474,0.9719302272043423,0.4908738521234051,0.9930555997163355,8444
Case4Fin,0.9081166264282996,0.3436116964863836,(0.3666560235640505-2.2204460492503132e-17j),(-0.6984004976453758+0j),(0.5500744420711124-1.448813465751586e-17j),0.18806604939426474,0.9719302272043423,0.4908738521234051,0.9965374955562986,8381
